項目,Gの数,Nの数,Bの数,Wの数,コメント
1,4,0,0,0,すべての評価で優れた結果が出ていますので、大変おすすめです。
2,3,1,0,0,完璧とまではいかなくとも、悪い点が見当たりませんので大変おすすめです。
3,3,0,1,0,多少良くない点がありますが、それを覆すほどの良い点がありますのでおすすめです。
4,3,0,0,1,良い点も多いですが、かなり悪い点があるので慎重に検討すべきです。
5,2,2,0,0,良い点も多く、悪い点が無いためおすすめです。
6,*?,*?,*?,3,かなり悪い点が目立ちます。良い点が少ないため、導入はおすすめしません。システムの見直しをしましょう。
7,2,0,0,2,かなり悪い点とかなり良い点が半分ずつ存在しています。ほんの少し良くなるだけで、一般のご家庭より優れた導入が出来ると思われます。是非ご相談ください。
8,1,*?,*?,2,かなり悪い点が目立ちます。良い点も少なからずあるため、比較検討や、システムの見直しがおすすめです。
9,0,*?,*?,2,悪い点と良い点のバランスがとれていないため、あまりおすすめ出来ません。
10,2,*?,>=1,*?,良い点も多いですが、悪い点も多少あるため、比較検討をすべきです。
11,2,*?,*?,>=1,良い点はあるのですが、かなり悪い点もあり、導入するには厳しい内容だと感じます。
12,1,3,0,0,良い点もあり、悪い点が無いためおすすめしやすいですね。
13,1,>=1,>=1,0,良い点も悪い点もありますが、導入がダメな程ではないと思われます。検討の結果次第ではアリですね。
14,1,0,*?,*?,良い点が少なく、悪い点が目立ちます。どうしても導入したい理由が無ければ他の条件が良いと思われます。
15,1,>=1,*?,>=1,悪い点が目立ちますが、良い点もありますね。比較検討を行い、自分の中で納得出来るかが大事です。
16,0,4,0,0,目立って良い点も悪い点もありませんが、非常に平均的でバランスが取れていると感じます。強みは少ないですがおすすめです。
17,0,3,1,0,良い点が少ないですが、デメリットも少ないため、検討次第ではアリでしょう。
18,0,3,0,1,基本的には平均的ですが、かなり悪い部分がありますね。悪い部分を許容できなければ違う条件がおすすめです。
19,0,0,4,0,全体的に平均に届かないシステムです。それぞれの内容的に悪くはないのですが全体でみると満足いかない結果ですね。一部を変えると良くなる可能性を秘めています。
20,0,0,0,4,おすすめできません。根本的にシステムの見直しが必要と考えます。　是非ご相談ください。
21,0,>=1,*?,*?,悪い点が少し多いのと、良い点があまり目立っていないため、導入はおすすめできません。ただし、改善できる可能性を秘めていると感じます。
22,0,0,>=2,>=1,良い点が無く、導入してもあまり経済的でないと考えられます。是非一度ご相談ください。
